,Name,Review,Sug/Com,flair_sentiment
45,Ravindra yadav,"Garibi ke bawjud majbut irado walo ko isko padna chahea
Es book me amit pariwar aur garib pariwar ke baare me soch ko bataya gaya hai",1,0
46,Quayas B.,"Love it
बहुत ही बेहतरीन बुक है 😘😘😘",1,1
47,Gurdas shikhiyarthi,"Very very good
Very good book dimmag khol diya robert. Ne",1,1
48,Amazon Customer,"rich dad poor dad
It is my first book that i buy online .....ye aisa book hai jisne mere paisa k prati sochne ka pura tarika badal gaya ....thank u robert sir and thank u amazon",1,1
49,Avijit paul,"Har insaan ko padna Chahiye
Excellent book",1,1
50,Vimal Kumar,"Jaroor padhe
Nice book",1,1
51,SamRaj,"Superb book. But ek bar me samj nhi aati ...
Superb book. But ek bar me samj nhi aati... Par achi hai boht ye book... Paise ka use kaise krna hai ye btati hai ye bok",1,1
52,Samira S.,"Ye Koi Self Help Book Nahi Hai
Agar Aap Ko Shudh Hindi Nahi Aati To Mat LenaKuch word To Samjh ke bahar hai",0,0
53,Amazon Customer,"Five Stars
Mast kitab h bhai is kitab ho padkar mera dimag khul gaya nokri chod amway bussiness join krliya h",1,1
54,manish k.,"Like it
Amazing product...... Unke liye jo apna time waste kr rahe h.....",1,1
55,Jawed akhtar,"Nice book
Agr amir banana chahte h to ye book jrur pdhe",1,1
56,GHANSHYAM KUMAR,"पृष्ठों की क्वालिटी व छपाई बहुत ही खराब हैं।
लेखक बेहतर हैं।परन्तु इस पुस्तक की छपाई और पन्ने की क्वालिटी काफ़ी घटिया हैं।",0,1
57,R4J,"Five Stars
Very useful for Every Human. Must Read Everyone. Phir mat kahna kash ye Maine Pahle pad li Hoti.",1,1
58,pravallika,"सुन्दर भविष्य के लिये अच्छी पुस्तक।
सुन्दर भविष्य के लिये अच्छी पुस्तक।",1,1
59,Chandan Gupta,"Best
Bahut accha book h",1,1
60,RAM kunwar sukhari rajbhar,"Jabardast
Jabardast",1,1
61,Pradeep,"Bahut achi
Must he",1,1
62,Himesh kumar,"Mast
Behtarin book..",1,1
63,Atul Kumar Singh,"Dil khush ho gya
Amazing book.",1,1
64,kawaljeetsingh,"Paise se apne liye kam karvana na
I like this book",1,1
65,Gajendra singh,"Maza aa gya..
Shandaar..",1,1
66,Mukhid Shaikh,"Nahi
Not",0,0
67,Suraj Majhi,"Me
Samajh me nahi at hai.maja nahi aya",0,0
68,Amazon Customer,"Mast hai
Mast hai",1,1
69,Amarjeet Kumar,"Awesome❤
Bhai bilkul time par mil gya. 👍👍",1,1
70,Ganesh Rajput,"Sabko padni chahiye ye kitab
I like it",1,1
71,Amit kumar singh,"Kab hoga book delivery
Rich dad poor dad book mere Nhi mila hai",0,0
72,Aman yadav,"Ek bar jarur padhe
Nyc story",1,1
73,Nishant Kumar Prashant,"awesome book.
bahut achchhi book hai jo ki aapko batayega ki paise se paisa kaise banaya jata hai. Poor or poor and rich or rich kaise ho jate hain.",1,1
74,Sunil Pradhan,"Aage badne ke liye ye book bahut acha hai
The media could not be loaded.
 Dosto ye book bahut acha he jisko bhi free time mile to ise padana jarur bahut hi acha he book",1,0
75,Swadesh,"Best book for money and finance
The media could not be loaded.
 ये किताब सभी के लिए बनी है। और सभी को इस पुस्तक को पढ़ना चाहिए ।इस पुस्तक ने पैसे के बारे मे मेरी सोच बदल दीThanks amazon and thanks robert sir....",1,1
76,Deepak Soni,"शानदार
एक बेहतरीन पुस्तक, जो बदल देती है आपका नजरिया, वित्तीय परिस्थितियों के संबंध में। जो दिखाती है छुपी हुई सच्चाई ताकि आप झांक सको अपने गिरेबान में।",1,1
77,RANJANA PATIDAR,"प्रकाश
मुजे बुक प्राप्त क्यो नही हुई में इंतजार कर रहा हु।मेने वापस लौटाया भी नही है।ऑर्डर में वापस क्यो बात रहा है",0,1
78,Deepak maurya,"एक बढ़िया पुस्तक अगर मैं इस 5 साल पहले पढ़ लिया होता तो अच्छा रहता!
बढ़िया पुस्तक",1,1
79,prashant tripathi,"
बहुत अच्छी और प्रेरणा दायक पुस्तक।


बहुत अच्छी और अपने जीवन को कैसे जिए और अपने आप को कैसे जीवन में कैसे नयी ऊर्जा का संचार करे
",1,1
80,Hitendra Kumar Gupta,"जीवन के अद्भुत रहस्य
जीवन के अद्भुत रहस्य गौर गोपाल दास जी की एक अद्भुत किताब है। मिलते ही एक ही बार में पूरा पढ़ गया। कहानी के रूप में उन्होंने जीवन का सार बहुत ही सरल ढंग से लोगों के सामने रखा है। उनका वीडियो तो पहले कई बार सुन चुका हूं। बहुत बढ़िया ढंग से अपनी बात लोगों के सामने रखते हैं। आजकल के युवा तो इनके फैन हैं। इस किताब को सभी लोगों को जरूर पढ़ना चाहिए।",1,1
81,Gurcharanjit singh,"one of the best book
इस किताब को पड़ने के बाद किसी का भी जीवन बदल सकता है। अगर हर कोई इस किताब में दी गई शिक्षाओं को अपना ले तो सभी का जीवन जेते जी ही स्वर्ग बन जायेगा।",1,1
82,Just Journalist from Jodhpur,"अद्वितीय
अद्भुत",1,1
83,Leena sutar,"पढिये और संतुलन पाये वैसे real मे इसके लिए सिर्फ नजरिये और थोडी प्रॅक्टिस की जरुरत hai
पढिये और संतुलन बनाये राखिये",1,1
84,DEEPAK KUMAR,"very nice
बहुत ही जबरदस्त",1,1
85,Yk,"Good
इतनी बुक्स में एक भी बुक टैग नही भेजा गया",1,1
86,Rajan,"जीवन का रहस्य
जीवन के सार को समझने के लिए अच्छी किताब हैं।",1,1
87,Ajay singh Tanwar,"Thik thak book h.
Thik thak",1,1
88,shivank singh thakur,"बेहतरीन किताब
बेहतरीन किताब",1,1
89,Sanjay,"Jeevan ko Disha dena Bala Book
Nice book",1,1
90,Gm,"Ware puware
Ye left wali klipe eare me lagane se khul jati hai awaje bhi fasti hai ise exchanje karna hai jaldi se aap ese exchaje kar le mera phene khrab tha is liye message bhi nhi kar paye aap jald he exchanje kar le mere paas garante warante kard hai plese ese jaldi exchanje kar le mujhe gift karna hai aap ke saide pe best cheje hote hai is liye magaya tha agar black Color aa gye ho to hame wahi dena but amezon wala dibba fat gaya hai plese jaldi kare mujhe black Color wale bhej dena",0,0
91,Zishan ansari,"
Bekaar ear phone


Br br connection tut jata hai phone se ...ek me aawaz aata h or ek me ni...roz roz yahi face krte hai.... Now i m going to use Samsung ear buds .Bht bekaar ear buds bana raha boat . Av v time 9:57 ,12/7/22 me v same problem face kr rahe hai as mentioned above.
",0,0
92,Bhushan Patil,"Best product on its price segment
मुझे 1 महीना हो गया उसे इस्तेमाल कर ते हुवे, बैटरी बहुत बड़ी या performance he,voice call pr बात करने के लिए बहुत अच्छा हे,but jo music ya gaming ke shokin he o dispoint ho jayenge....other wise very good product From-boAt ,on its price segment...",1,1
93,ARS,"Very bad product
Bahut ghatiya product, jab aapko milega tab pata chalega , aur fir koi option nahi kyuki no return.. aur fir 8-10 din baad pata chalega charging to chalti hi nahi, tab replacement period bhi khatam ho gaya hoga... Hahaha matlab company ne bewakoof bana diya",0,0
94,Muhammad Zeeshan,"Nice product
Sub kuch acha hai but esko laga kar scooty ya bike driver nahi kar sakte our mic bhe nahi h esmey ye khali offical wale logo ke leya subsey sahi hai agar koi ye socha ke buds acha hota hai to paisa vast hai balke neck band sahi hai our baki koi problem nahi hai?",0,0
95,arif,"Please improve built quality
It worth 800/-But in just 6 months battery is not working100% mai bs 2 charge krta hBuds bhi 3 ghante hi chalte hBekaar h sound quality bhiKoi mat khareedna",0,0
96,Ramashanker Khandelwal,"Very poor blue tooth connectivity
इस प्रोडक्ट की ब्लू टूथ connectivity बहुत ही खराब है, frequently disconnect होता है, इसका return भी नहीं है, ये product same product से ही replace होता है।इसके रिप्लेसमेंट में दूसरा प्रोडक्ट भी नहीं ले सकते।😞😞😞😞😞",0,0
97,Ved Prakash,"Best in price
Price ko lekar mastt haiComfortable thoda kam haiSound ke liye jyada andar krna pdega buds koOverall best in priceM b use krra hu ap b karo👌",1,1
98,AMIT T.,"Bluetooth ki connectivity acchi nahin hai bar bar disconnect ho jata hai
Bluetooth connectivity ki quality acchi nahin hai sound quality bhi theek hai humko to wapas karna hai but hamara time Nikal Gaya hai yah bhi Aaj humne dekha ab kaise return hoga ki humko jankari hai online humne pahle bar mangaya tha",0,0
99,Laxman Pawar,"Don't buy boat products.
Don't buy boat products.Mene is product ko 3 month pehle kharida tha.Right bud work nhi karra me service center gaya vahaka service bhi accha nhi tha bas yahase vha alag alag service center bhagate hai.Don't buy 🙏🙏",0,0
100,Deepak Thakur,"Noise cancelation not available
Agr sirf music sunne ke liye lena hai to sahi. Agr bat karne ke liye use karna chahte hain to mat lena. Noise cancelation nhi hai. Voice me bahut noise jata hai samne wale ko.",0,0
101,Parveen,"Bilkul bhi sound acchi nahi hai aur amount 1300 hai
Sir I want my money refund as i didn't like the bass quality of this product even not sound is good .Local quality hai ek dum . Mujhe replacement nahi refund chahiye",0,0
102,Abhilasha Soni,"I don't like this product
Ek number ka ghatiya product h paise Barbad h ye earbuds 1 week ke bad hi iski sound quality bhut ghatiya ho gai aap log isko lekr krapya mere just apne paise Barbad na kre",0,0
103,SANJEEV KUMAR MISHRA,"जरुरत है बहुत कुछ बदलने की
ध्वनि सुंदर एवं आनंदमय नहीं है अंततः मेरा सुझाव यही है कि इसे न लिया जाए ।",0,1
104,चंद्रशेखर अर्जुन पराडकर,"साऊथ काॅलेटी अच्छी हैं
काम के समय बहुत फोन आते है ऊसे घडीघडी मोबाईल फोन कान को लगाना पडता है कुछ काम भी हो जाये और बाते भी और गाने सुननेके लिये अच्छा विकल्प हैं",1,1
105,Jeevan singh koli,"Jhankar theek nhi h
Paise ke layk h",1,1
106,Saloni Sharma,"Ye kharaaab item hai ek bud charge hora hai doosra charge ni hora hai isko replace karna hai mujhe
The media could not be loaded.
 These are in very poor quality one bud is charging currently and another one is not charging",0,0
107,Punam Rajbhar,"Charging issues
Right wala airdropes kam nhi kar rha, charge hi nhi ho raha 20 days just use ki hu jab or yaha return karne ka koi option hi nhi hai time up ho gaya",0,0
108,Vinay Shankar Singh,"सबसे बकवास मूर्ख बना रहे है bc boat वाले और amezon वाले
गाली ही निकल रही है बोल दु क्या?सबसे बकवास मूर्ख बना रहे है bc boat वाले और amezon वाले।कॉल करने पर सामने वाले को अजीब आवाज सुनाई देता है,सबसे घटिया प्रोडक्ट है।",0,1
109,Kriti Agrawal,"Aacha se awaz nhi jata kisi ko awaj samjhe hi nhi aata
Plz mt kharido bhut kharab hai mere paisa kharab ho gye kisi ko call me mere awaj hi nhi sunae data",0,1
110,Vk sahu,"Right iyar ka charge nhi ho rha prodact reples me
I think product 1no hai but ye mere pas jo hai yo right iyar ka charg nhi ho raha please reples me",0,1
111,Virat yadav,"boat airport
The media could not be loaded.
 fake product hai sound clear nahi hai return bhi nahi ho rha hai kya kare plz",0,0
112,sureshpuri Goswami,"Super
Product achcha hai Magar sound cal thodi si week hai",1,1
113,Abhishek,"Worst Battery and useless mic, defective product
Worst battery, dabbi ki battery pani ki tarah behti rehti h or phone krte time is product ka to koi use hi nhi h, itna useless mic",0,0
114,Manish,"Third class products hai bhai
The media could not be loaded.
 5 din me khrab ho gya ye products koi replace me answer nhi mil rha hai or na hi coustmer care pr bat ho rhi h",0,0
115,Kanhiya,"Bakwas hai kisi se bt karo cl par to samne walo ko awaj ni aati dangs e
Sirf ye songs sunane ke liye hai kisi se esme bat karo to dang se samne walo ko awaj ni aati clear bakwas hai koi mat laina plzzz",0,1
116,Amazon Customer,"Bekar
Ek dam bakwas 20 din me hi kharab hogaya ab sahi bhi nahi horaha hai or vapish bhi nahi horaha hai bebkufh bana diya",0,0
117,Shailendrasinh P Vadha,"Value For Money
Bhaio Or BehnoProduct Kaafi achha haiPeso ke hisab se bahut achha haiSound Quality achhi haiLe lo achhi deal hai",1,1
118,Gulam mohammad,"Box kafi ghatiya quality ka hai
Box kafi ghatiya material se banaya haiAp jitna bhi sambhal ke box me scratches apka ho hi jayega",0,0
119,Amit,"This product is used by another customer...😡
The media could not be loaded.
 मै इसे खुद के इस्तेमाल के लिए खरीदा, लेकिन ये प्रोडक्ट किसी और के द्वारा इस्तेमाल किया गया था",0,0
120,Ummi Khan,"Very nice
I like it . My son online class ke liye liya hai q ki teacher ki awaz bahut km ati thi to braber sun kr study krta hai",1,1
121,Dinesh Prasad jaguri,"मुझे ये एयर बर्ड वापिस करानी है, दोनों एक साथ नहीं चल रही। कृपया मुझे अच्छी एयर बर्ड दीजिए।
कृपया मुझे अच्छी और दोनों एक साथ चलने वाली एयर बर्ड दीजिए।ये वाली एयर बर्ड एक साथ दोनों नहीं चल रही।।",0,1
122,Rahul verma,"हमारा इयरफोन जल्दी से जल्दी ठीक कराया जाय
The media could not be loaded.
 हमारा इयरफोन खराब हो गया है वारंटी से पहले ही हमे इसे चेंज कराया जाय कृपा करे",1,0
123,Abhishek maurya,"Battery Sahi nahin chal rahi hai
The media could not be loaded.
 Battery Sahi nahin bahut jaldi utar ja rahi hai",0,0
124,Shivani kumari,"Ek m aavaj nhi h pls return
Ek m aabj nhi aari h pls return plsMene ye Jada use bi nhi kiya hPls return pls",0,0
125,Apoorva mundi,"Nice 👍
Product bahut acha h n all quality are perfect ❤️but ise aap zada fix nhi kr sakte ye nikal jaate h",1,1
126,Vinay Swaroop Nishad,"केवल वीडियो - ऑडियो सुनने मे साउंड ठीक है, किसी से कॉल पर बात करने मे ठीक से बात नहीं हो रहा है l
केवल वीडियो - ऑडियो सुनने मे साउंड ठीक है, किसी से कॉल पर बात करने मे ठीक से बात नहीं हो रहा है l",0,1
127,GANESH BHAGWAN NAVALE,"Best
Lai bhari",1,1
128,Ashish,"Very bad one earbud is not working
The media could not be loaded.
 Ek earbud kaam hi nahi kar raha hai",0,0
129,Mayur,"If you use for calling please not purchase this product because sound not recieved properly
Noise cancellationकॉलिंग के लिए एक दम बकवास चीज है क्युकी अगर किसका कॉल आता है और आप धीरे से बात करेंगे तो आवाज बिलकुल नहीं सुनाई देगी सामने वाले को आपको चिल्लाना पड़ता हैं",0,0
130,Shiv Kumar,"Hello sir
Sir mein yeah liya tha airport use ki abb Bass bhi nhi aa rahi song chlata hu tabhi vi sund nhi aa rahi full bhi kiya hai sund par joo pehla waaj thi app ho nhi aa rahi ise ko wapis karlo mere ko dusra kardo delivery bill vi hai sab kujj hai warranty vi hai ise ki mere ko call karlo",0,1
131,Abir Ghosh,"999 me sab kuch nhi milta, sound is really awsm.
Build-4/5. Sound quality accha h, instrument seperation bhi accha h. Balence bass. Comfortability ear size k upar h, ear chota h to thoda uncomfortable lagega. Bad reviews k bre m mat socho. 1 side earbud kabhi kabhi sink nhi hota dusre k sath but case me dal k bahar nikalo to dono sink ho jata h.",1,1
132,Dheeru,"Calling issue nd battery backup
Calling k lie bht bekar haiAche se bat bilkul ni ho pataAr battery backup b kuch khass ni h jitna isme btaya gya tha utna to bilkul ni chltaAb to iska working b band ho gya itna Ganda product to mene dekha hi nai ajtkWaste of moneyChi",0,0
133,Aryaman,"Don't buy boisss!!!!
The media could not be loaded.
 Guys dekho paisa h to khoob try Karo ye wala , but mai bata ra hu ki Paisa aur mehant dono hi bachana chahte ho to mat khareedo service centre k chakkar lagate reh jaoge .baat maano aur company h market me , koi b Lelo.",0,0
134,Nihar ranjan,"Its sound quality is so good
The media could not be loaded.
 Material thoda low quality ka hainHat se bohat slip hota haiMain problem connection disconnectionPremium look nehi milta haiAgar carefully use kare to bohat acha performance de sakta hai",1,0
135,Shaikh Asnan,"Ok.. okh... But yeh price mein our kya chahiye
Okh... Yeh price mein our kya chahiye acha hai bohat ka Airdopes but ek problem hai yeh airdopes 1 side sey voice nhi ate toh apne responsible par lenai okh....141 I like boat products sound 5/4⭐ Noise 5/3⭐ Bass 5/4⭐.",1,0
136,Uttam,"Subse kharab earbuds mene socha tha bahut aacha hogi par yeh to bilkul hi bakwaas hai
Wrost earbuds ever don't buy this, yeh muje aaj dupar me Mila or dusre din se hi isme problem ane lagi sound apne aap kaam jyda hone laga youtube video ka sound hi nahi aa raha sirf downloaded songs ka sound aa raha hai or bgmi me to foots ka sound hi nahi ata isme",0,0
137,VATAN SHARMA,"बाइक के लिए SUTABLE नहीं है... Otherwise it is good
Sound अच्छा है noise कैंसलेसन भी ठीक ठाक है बस टच इतना अच्छा है कि बाइक पर हवा लगने से भी काम करता है तेज हवा से टच ऑटोमेटिक काम करने लगता है। बाकी बैटरी Backup अच्छा है। कानों के लिए आराम दायक है Fitting अच्छी है",1,0
138,Aarti,"Bluetooth quality very bad
Case plastic quality very badWireless quality bahut hi ghatiya haiSound quality aur battery quality bahut hi acchi haiWireless quality bahut hi kharab haiHamesha phone hath mein rakhna padta haipocket main phone dalte he awaaz aani band Ho jaati hai",0,0
139,Amazon Customer,"Bakvas west for mony
The media could not be loaded.
 So bakvas west for mony led light not work & replies krvane ke bad bhi purana product bhejte h product itna gatiya h ke muje tor dena pda guse me plz aap mat mngvana fas jaoge meri trah",0,0
140,Amazon Customer,"Worst...
सबसे बेकार हमेशा इसे डब्बे में डाले रखना पड़ता है और उसकी साउंड क्वालिटी भी सबसे बेकार है कभी-कभी तो एक साइड का बंद भी हो जाता है तो इसको खरीदने से पहले 10 बार सोचेगा... ऊपर से देखी हुई थी कभी भी अंदर से अच्छी नहीं होती जैसे ही है Boat का Airdrop.",0,0
141,Shub,"It's really a bad product of boat . Always left side eardrops is not working
Ab tak ka mera sab sa bakar experience tha boat ka ya product , hamesa iska left side ka eardrops kharab rahte hai , service centre me jao toh vo 7days exchange kar ka date hai",0,0
142,abhay puri,"Bakar products calling me kisi se bhi baat karo raste me to kisi ko tum Hari awaz hi nhi sunegi
Noise cancelation to maha bakwas hai Maine baat kiya ghar me to thik thak sunai de raha tha samne wale ko but jab Bahar road me gaya to kuch kisi ko sunai hi nhi deta h sirf Agar bagal logo ko awaz sunai degi bhai soch samjhe ke Lena oder krna Agar koi lene ka soch raha hai to",0,0
143,sandeepkumar,"Not working properly
The media could not be loaded.
 Show this video 1 वीडियो गाना प्ले करो 4 बार स्टॉप होता हा बार, बार ऑन करो. Left side airdrop 2 time return",0,0
144,Manoj Mallick,"Ek dam se ghatiya product hey ye plz. Koi na kharide isse bar bar kharab ho raha hey..
Isme like karne like kuch hey hi nahi, bakwas product plz. Koi na kharide isse",0,1
145,ONKAR AHIR,"Paisa kharab ho gaya
Koi mat kharidana paise wast ho jayenge.Sound quality bakwas he chaina vale se bhi ghatiya. 6 hour music play ki jagah 6 ghante stand by bhi nahi rahta he. Farzi detail dali hui he he. Koi mat kharidana.",0,1
146,Arjun,"This product is very usefull
Kam karne ke sath hi aap har ek se bat chit kar skte he or sath mind ko fresh krne ke liye music ka aanand bhi le skte he",1,1
147,K venkat kumar,"Choose this compare to another this price range
Left earbuds ka sound pta hi nhi chalega bahut low hai right earbuds ka sound or bass bht Accha h, light weights h, connect v fast hota h battery avtk thik perform kr rha..",1,1
148,Bijendra Singh,"Very nice
Good bass sound thik hai but mujhe calling problem hua hai",1,1
149,Deepita Pradhan,"Just because it's a brand doesn't mean the product is good!!
I don't know what to say. I bought it a week ago and one of the airdopes not working. I have been saving money to buy it and now i realise it's not worth it..I feel like going in past and change my decision of buying it.. Isse accha toh sasta Wale Hain ...itne jaldi kharab toh nhi hote. Aise bhi zindagi kharab ho rakhi Hain....aadmi thoda apna mood thik karne ke liye ganaa sunega par yahan toh yeh kaam hi nhi kar raha ...bahut bura lagta hain... frustration hoti hain...Boat ka sirf naam bada hain aur darshan chota hain..Ab batao what to do with these airdopes? Kya karoon ??? Paise toh mere doobe naa bekar ka...I don't even know ki company Wale review padhenge ki nahi 🙂🙂🙂 if the customer service reads this just one thing to say these airdopes suck . Thank you!!",0,0
